country,population,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Blue,Grey,blue,grey
Finland,5182,651.0,1.2,17.5,406.2,47.9,40.3,10.2,32.3,13.6,157.4,6.6,29.6
France,59436,735.3,23.1,63.2,618.1,77.0,35.0,14.7,55.9,9.8,105.7,10.6,37.4
French Polynesia,238,907.3,2.6,6.2,630.6,135.7,82.7,0.0,0.0,11.2,100.2,0.0,0.0
Gabon,1245,1020.4,10.1,6.7,271.1,54.6,30.2,0.1,2.9,0.6,6.1,4.8,43.4
Gambia,1325,541.9,1.2,5.4,246.4,52.2,29.4,0.1,2.0,0.2,2.8,0.5,4.8
Georgia,4720,1219.7,76.2,42.6,587.4,34.2,29.4,5.6,102.5,1.1,16.3,15.3,137.3
Germany,82139,311.4,1.0,85.9,741.9,56.9,62.3,9.9,10.4,10.3,109.4,7.1,19.9
Ghana,19785,1091.4,1.9,4.8,57.7,20.6,9.7,0.2,3.8,0.4,4.6,1.2,10.7
Greece,10937,890.9,206.0,88.0,761.1,96.4,78.2,1.0,2.7,11.0,139.9,11.6,51.4
Grenada,102,1267.2,2.2,0.0,636.9,90.1,113.7,0.0,0.0,4.4,39.6,0.0,0.0
Guatemala,11412,713.0,13.0,50.3,136.1,17.7,19.8,0.9,10.1,1.1,11.2,1.1,8.4
Guinea,8463,1492.1,5.1,2.5,52.7,26.3,10.2,0.1,1.4,0.1,1.3,1.4,12.4
Guinea-Bissau,1326,1028.8,63.1,0.0,31.2,40.0,11.1,0.2,4.1,0.1,1.6,1.7,15.6
Guyana,759,1046.5,96.6,114.9,165.2,22.1,39.6,0.5,9.1,1.3,13.1,4.0,35.6
Haiti,8719,780.9,25.8,0.0,141.0,49.8,23.9,0.0,0.8,0.2,1.7,0.6,5.2
Honduras,6299,913.5,18.0,55.6,123.3,27.4,16.1,0.3,5.8,0.7,5.8,1.1,10.0
Hungary,10200,1547.2,7.2,200.0,369.2,34.6,24.5,10.3,66.2,6.6,73.9,7.0,37.3
Iceland,282,14.5,0.0,5.8,1468.9,82.3,88.1,14.0,114.3,20.0,207.4,17.7,75.7
India,1051290,685.5,210.5,91.6,22.4,2.1,1.8,1.2,22.7,0.1,1.2,5.0,44.7
Indonesia,206706,854.8,45.5,77.1,77.8,24.0,7.5,0.1,1.4,0.3,3.3,3.2,28.5
Iran,67158,749.4,558.3,122.9,289.5,20.1,14.9,0.6,9.6,0.6,8.2,9.2,83.1
Ireland,3869,278.8,0.1,37.7,660.8,90.9,65.5,2.9,11.9,8.1,107.7,6.7,30.3
Israel,6134,207.4,134.2,54.3,1583.1,98.9,89.1,0.6,1.3,9.3,97.0,10.3,17.2
Italy,57521,629.3,43.9,94.2,1091.2,117.0,82.4,8.7,47.7,9.1,97.8,14.0,67.7
Jamaica,2578,838.5,17.3,16.2,585.7,63.8,75.7,1.0,18.8,2.5,22.3,5.4,48.9
Japan,126741,176.6,11.0,16.6,832.8,54.7,83.0,4.6,26.8,7.0,82.9,13.7,69.5
Jordan,4956,112.5,75.8,10.1,1126.3,163.8,103.7,0.3,2.3,3.5,42.4,5.9,31.4
Kazakhstan,15160,1710.6,344.2,16.5,81.1,16.4,13.0,7.4,124.1,1.5,22.6,3.9,35.0
Kenya,31935,875.1,9.3,8.5,155.8,23.3,8.7,0.1,2.4,0.2,3.2,1.5,13.1
Kiribati,85.0,2341.6,0.0,0.0,314.7,148.2,48.0,0.0,0.0,0.5,6.2,0.0,0.0
"Korea, Dem People's Rep",22867,542.5,58.1,0.0,91.0,16.7,14.6,4.2,79.2,0.2,3.7,7.8,70.5
"Korea, Republic",46443,252.4,9.8,24.3,1032.7,79.7,91.9,1.9,6.6,5.7,62.4,14.3,47.7
Kuwait,2252,6.6,22.9,6.4,1412.9,246.0,138.2,0.2,4.3,4.9,51.9,17.8,160.1
Kyrgyzstan,4962,495.4,240.8,14.4,593.5,26.9,16.8,2.4,32.3,1.0,17.0,6.4,52.5
Laos,5432,891.0,64.2,0.2,27.3,3.9,2.4,1.2,21.5,0.3,5.4,2.4,21.5
Latvia,2369,1036.6,0.2,107.3,289.9,39.6,24.5,1.7,9.8,15.9,231.5,6.8,33.0
Lebanon,3817,303.4,174.8,33.7,1245.0,142.7,76.7,1.8,11.0,5.4,69.4,10.0,37.7
Lesotho,1890,1533.5,2.9,0.7,40.2,32.8,11.0,0.3,5.3,0.2,2.1,1.1,9.5
