Country,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey
Comoros,59.9,44.7,9.0,25.6,1.0,1.0,0.2,2.3,103.1,1.1,0.0,0.3,0.0,0.0,0.0,0.3
"Congo, Dem Republic",461.7,67.6,44.4,43.0,8.7,2.7,1.6,18.3,539.0,0.3,0.8,0.3,0.0,0.0,2.9,49.4
"Congo, Republic",330.3,113.4,33.1,106.8,11.5,4.5,2.9,31.6,290.8,8.6,0.6,0.4,0.0,0.0,2.9,37.6
Cook Islands,1.6,0.2,0.2,2.5,0.1,0.0,0.1,0.7,0.7,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Costa Rica,2152.4,356.2,301.2,87.5,10.5,5.1,19.7,181.5,4466.5,205.2,313.0,171.0,20.9,6.9,19.6,285.8
Côte d'Ivoire,1695.9,537.2,213.5,168.0,22.7,11.0,6.7,75.3,26852.6,130.8,88.0,11.5,1.3,0.1,2.3,36.0
Croatia,1711.3,295.6,230.5,699.8,47.8,48.9,45.6,617.0,877.6,151.2,116.9,329.9,28.5,44.7,9.8,164.6
Cuba,2507.3,235.1,387.0,229.4,50.2,19.1,10.1,123.3,6847.1,949.6,43.1,17.3,2.7,0.2,4.2,51.3
Cyprus,1177.8,121.5,115.8,50.9,8.3,3.9,12.3,159.5,191.8,138.5,26.5,76.6,8.7,3.8,1.8,28.6
Czech Republic,4351.6,1301.7,591.1,520.7,65.7,50.9,156.1,1850.2,2710.2,570.4,602.3,595.9,81.3,87.6,104.1,1082.5
Denmark,8959.3,1062.7,939.3,916.7,126.4,103.9,130.0,1298.4,2888.4,543.1,427.1,5892.7,613.4,696.6,51.4,451.4
Djibouti,397.2,57.4,48.8,8.7,3.2,0.4,0.0,0.0,439.5,219.8,88.5,6967.8,71.7,0.0,0.1,1.2
Dominica,27.5,4.5,3.0,8.3,1.5,0.6,0.3,3.4,49.9,2.2,0.5,6.5,0.1,0.0,0.1,1.2
Dominican Republic,2243.5,209.9,357.1,666.8,49.3,38.9,19.1,173.9,3620.3,1105.0,340.9,75.6,6.1,2.1,6.5,66.1
East Timor   ,28.2,2.2,0.7,2.4,0.4,0.1,0.0,0.5,27.3,0.1,0.1,0.1,0.0,0.0,0.0,0.3
Ecuador,2150.0,184.4,237.3,41.9,6.8,3.3,15.9,169.1,6300.3,377.7,114.2,61.3,5.0,1.9,15.9,279.4
Egypt,14759.3,1254.1,1611.2,1444.4,71.6,46.3,38.3,497.7,406.9,5649.8,1029.4,1135.8,1122.0,575.7,38.1,717.4
El Salvador,1788.0,297.3,214.8,237.0,37.6,7.7,10.6,112.3,3262.5,89.5,148.9,42.2,4.9,3.5,6.2,99.6
Equatorial Guinea,42.0,8.8,3.8,11.2,1.0,0.9,1.2,10.6,395.9,0.3,0.2,0.1,0.0,0.0,1.5,19.6
Eritrea,1624.5,441.4,493.3,3.7,2.8,0.3,0.6,7.2,34.3,1.4,0.8,42.9,0.7,0.0,0.0,0.1
Estonia,2018.3,599.1,101.0,206.8,25.3,14.6,23.6,344.9,687.9,216.2,94.5,154.3,25.2,14.0,11.9,211.2
Ethiopia,1036.9,89.2,203.6,4.1,1.4,0.2,5.2,69.5,2213.1,114.3,6.5,133.7,9.1,0.1,0.2,3.2
Faeroe Islands,16.0,1.2,1.5,10.4,0.5,0.8,0.7,6.2,0.7,0.1,0.1,1.9,1.2,0.1,0.0,0.2
Falkland Islands,2.2,0.2,0.1,0.7,0.1,0.1,0.1,0.9,7.6,0.6,0.5,0.9,0.0,0.0,0.0,0.0
Fiji Islands,482.0,70.7,40.3,98.7,10.1,0.8,1.9,24.0,867.5,78.5,68.0,22.9,1.8,0.0,0.3,4.5
