Country,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey,Green,Blue,Grey,Green,Blue,Grey,Blue,Grey
Tokelau,44.4,17.2,4.2,2.6,0.2,0.1,0.2,1.6,10.6,5.3,2.2,0.2,0.0,0.0,0.0,0.2
Tonga,14.8,1.4,1.2,23.7,2.3,0.1,0.1,1.0,23.7,2.2,2.1,0.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,6512.2,13033.2,4353.4,142.2,21.0,8.0,10.3,101.4,246.2,17.2,9.5,7.3,1.2,0.4,8.2,97.3
Tunisia,5613.7,1400.8,599.6,140.7,21.7,10.1,28.3,283.7,8320.2,403.2,573.4,264.1,38.7,17.8,13.4,134.0
Turkey,16541.1,6365.7,1571.7,970.1,92.8,23.3,260.1,3634.0,8650.7,11236.8,1738.2,283.3,37.0,13.7,102.9,1610.3
Turkmenistan,534.6,83.1,36.9,57.4,9.4,4.0,10.6,177.5,636.3,2989.7,3.5,23.0,2.7,0.0,12.5,291.3
Tuvalu,1.6,0.2,0.2,1.2,0.2,0.0,0.2,1.4,15.0,7.5,2.9,0.0,0.0,0.0,0.1,0.3
Uganda,1162.6,104.1,113.6,29.1,1.3,0.3,3.0,45.1,3627.1,1.6,5.6,73.8,8.9,0.2,0.1,2.0
Ukraine,4585.8,677.3,347.6,349.3,26.1,19.3,154.6,2750.0,15289.2,545.6,691.4,2303.6,227.5,78.0,292.5,5888.6
United Arab Emirates,6812.3,2691.5,881.0,2102.7,212.0,102.1,138.0,1834.0,3775.0,1273.5,604.8,337.8,114.2,17.5,55.7,967.8
UK,42005.2,8879.3,5143.0,7599.0,1043.1,515.0,1062.1,11220.2,9192.5,1847.8,1500.4,2346.1,413.5,247.0,450.5,3586.6
USA,118284,25160,15343,22412,1194,1421,4054,46223,189311,33616,28992,32086,2707,2189,2891,21880
Uruguay,813.6,35.4,66.4,161.6,16.2,4.9,9.7,121.9,2979.4,580.3,166.3,3672.1,150.4,11.8,1.6,25.2
Uzbekistan,4419.5,186.4,119.5,132.6,11.4,8.4,15.2,258.7,1641.1,13399.8,6.4,5.0,1.2,0.0,15.7,314.3
Vanuatu,27.1,1.5,1.8,3.4,0.5,0.1,0.3,3.1,227.3,1.0,0.4,22.6,2.3,0.1,0.0,0.5
Venezuela,6371.6,502.7,725.4,460.8,65.1,13.1,39.3,363.9,905.5,57.5,65.9,519.5,39.4,1.1,31.2,430.4
Viet Nam,4838.0,509.3,409.7,557.3,106.3,21.8,54.0,779.9,15541.2,563.0,1788.8,154.8,11.8,8.8,405.8,7704.4
Wallis and Futuna Is,3.7,1.0,0.4,6.1,0.6,0.1,0.2,1.5,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Yemen,4601.2,906.5,658.9,15294.5,703.0,65.6,5.2,69.0,127.5,240.5,10.0,85.4,13.3,0.4,3.4,59.5
Zambia,508.9,87.6,35.9,15.4,1.4,0.4,2.9,37.4,603.7,123.4,3.7,22.5,1.3,0.1,5.0,91.0
Zimbabwe,967.0,88.3,80.6,36.0,2.2,0.5,3.6,40.1,4714.1,267.8,83.6,316.1,11.7,4.0,6.0,107.8
